2020-09-08 13:13:47.473745
6210545734 6210545483 {'+': 396, '-': 354, ' ': 41, '?': 105} 0.06
6210545734 6210545491 {'+': 349, '-': 349, ' ': 46, '?': 116} 0.02
6210545734 6210546668 {'+': 303, '-': 358, ' ': 37, '?': 126} 0.03
6210545734 6210546374 {'+': 356, '-': 375, ' ': 20, '?': 52} 0.05
6210545734 6210545432 {'+': 292, '-': 354, ' ': 41, '?': 113} 0.05
6210545734 6110545996 {'+': 364, '-': 369, ' ': 26, '?': 69} 0.02
6210545734 6210545424 {'+': 341, '-': 378, ' ': 17, '?': 128} 0.02
6210545734 6210545556 {'+': 322, '-': 360, ' ': 35, '?': 75} 0.05
6210545734 6210546404 {'+': 355, '-': 350, ' ': 45, '?': 107} 0.03
6210545734 6210546421 {'+': 396, '-': 358, ' ': 37, '?': 69} 0.05
6210545734 6210546692 {'+': 335, '-': 347, ' ': 48, '?': 137} 0.03
6210545734 6110545601 {'+': 292, '-': 360, ' ': 35, '?': 86} 0.03
6210545734 6210545416 {'+': 313, '-': 369, ' ': 26, '?': 69} 0.07
6210545734 6210545521 {'+': 291, '-': 366, ' ': 29, '?': 125} 0.01
6210545734 6210545530 {'+': 469, '-': 369, ' ': 26, '?': 44} 0.06
6210545734 6210545572 {'+': 350, '-': 382, ' ': 13, '?': 34} 0.06
6210545734 6210545963 {'+': 326, '-': 375, ' ': 20, '?': 40} 0.07
6210545734 6210546021 {'+': 317, '-': 369, ' ': 26, '?': 93} 0.02
6210545734 6210546391 {'+': 288, '-': 360, ' ': 35, '?': 87} 0.03
6210545734 6210546676 {'+': 412, '-': 356, ' ': 39, '?': 139} 0.04
6210545734 6010545749 {'+': 313, '-': 349, ' ': 46, '?': 117} 0.04
6210545971 6210545998 {'+': 371, '-': 371, ' ': 13, '?': 35} 0.04
6210545971 6210546030 {'+': 382, '-': 350, ' ': 34, '?': 109} 0.04
6210545971 6210546684 {'+': 327, '-': 358, ' ': 26, '?': 93} 0.04
6210545971 6210545599 {'+': 303, '-': 348, ' ': 36, '?': 76} 0.05
6210545971 6210545947 {'+': 276, '-': 338, ' ': 46, '?': 128} 0.03
6210545971 6210545980 {'+': 259, '-': 331, ' ': 53, '?': 129} 0.08
6210545971 6210546005 {'+': 334, '-': 323, ' ': 61, '?': 136} 0.25
6210545971 6210546382 {'+': 361, '-': 323, ' ': 61, '?': 144} 0.18
6210545971 6210545581 {'+': 289, '-': 328, ' ': 56, '?': 145} 0.11
6210545971 6110545481 {'+': 300, '-': 360, ' ': 24, '?': 75} 0.05
6210545971 6210545441 {'+': 283, '-': 301, ' ': 83, '?': 108} 0.03
6210545971 6210545611 {'+': 477, '-': 347, ' ': 37, '?': 90} 0.16
6210545971 6210545700 {'+': 357, '-': 310, ' ': 74, '?': 137} 0.14
6210545971 6210545955 {'+': 210, '-': 341, ' ': 43, '?': 109} 0.1
6210545971 6210545505 {'+': 330, '-': 346, ' ': 38, '?': 107} 0.06
6210545971 6210545548 {'+': 357, '-': 357, ' ': 27, '?': 58} 0.08
6210545971 6210546714 {'+': 356, '-': 349, ' ': 35, '?': 114} 0.14
6210545971 6210545602 {'+': 334, '-': 348, ' ': 36, '?': 106} 0.07
6210545971 6210546048 {'+': 248, '-': 321, ' ': 63, '?': 129} 0.19
6210545971 6210545513 {'+': 286, '-': 323, ' ': 61, '?': 129} 0.16
